City,MiLB Team(s),AAA,AA,A,State,City Population Estimate,Metropolitan Area,Metropolitan Population Estimate,Median Household Income (City),NFL Team(s),MLB Team(s),NBA Team(s),NHL Team(s),NFL Count,MLB Count,NBA Count,NHL Count,MLS Count,MLS team(s),total_Pro_league
Broken Arrow,0,0.0,0.0,0.0,Oklahoma,107595.0,"Tulsa, OK",1015331.0,73000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Long Beach,0,0.0,0.0,0.0,California,474172.0,"Los Angeles-Long Beach-Anaheim, CA",13200998.0,81606.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Coral Springs,0,0.0,0.0,0.0,Florida,129502.0,"Miami-Fort Lauderdale-Pompano Beach, FL",6166488.0,68745.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Mayagüez,0,0.0,0.0,0.0,Puerto Rico,66581.0,"Mayagüez, PR",195000.0,18000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
San Diego,0,0.0,0.0,0.0,California,1394907.0,"San Diego-Chula Vista-Carlsbad, CA",3338330.0,83000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Chandler,0,0.0,0.0,0.0,Arizona,260833.0,"Phoenix-Mesa-Chandler, AZ",4948203.0,85000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Sunrise Manor,0,0.0,0.0,0.0,Nevada,192608.0,"Las Vegas-Henderson-Paradise, NV",2292476.0,50000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Longmont,0,0.0,0.0,0.0,Colorado,92221.0,"Boulder, CO",330758.0,80000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Arden-Arcade,0,0.0,0.0,0.0,California,96276.0,"Sacramento-Roseville-Folsom, CA",2397382.0,60000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Anchorage,0,0.0,0.0,0.0,Alaska,298695.0,"Anchorage, AK",398328.0,80000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Cincinnati,0,0.0,0.0,0.0,Ohio,298537.0,"Cincinnati, OH-KY-IN",2256884.0,60000.0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,FC Cincinnati,1.0
Santa Rosa,0,0.0,0.0,0.0,California,174989.0,"Santa Rosa-Petaluma, CA",499942.0,80000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Fairfield,0,0.0,0.0,0.0,California,112972.0,"Vallejo-Fairfield, CA",447643.0,85000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Centennial,0,0.0,0.0,0.0,Colorado,109726.0,"Denver-Aurora-Lakewood, CO",2963821.0,100000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Fremont,0,0.0,0.0,0.0,California,232191.0,"San Francisco-Oakland-Berkeley, CA",4749008.0,130000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Elk Grove,0,0.0,0.0,0.0,California,166890.0,"Sacramento–Roseville–Arden-Arcade, CA",2397382.0,76706.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Pompano Beach,0,0.0,0.0,0.0,Florida,107771.0,"Miami–Fort Lauderdale–West Palm Beach, FL",6166488.0,57278.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Fargo,0,0.0,0.0,0.0,North Dakota,119250.0,"Fargo, ND-MN",248591.0,64406.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Maple Grove,0,0.0,0.0,0.0,Minnesota,68381.0,"Minneapolis–St. Paul–Bloomington, MN-WI",3690512.0,86000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Philadelphia,0,0.0,0.0,0.0,Pennsylvania,1567442.0,"Philadelphia–Camden–Wilmington, PA-NJ-DE-MD",6245051.0,68000.0,Philadelphia Eagles,Philadelphia Phillies,Philadelphia 76ers,Philadelphia Flyers,1.0,1.0,1.0,1.0,0.0,0,4.0
Sioux City,0,0.0,0.0,0.0,Iowa,82776.0,"Sioux City, IA-NE-SD",169405.0,56000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Fall River,0,0.0,0.0,0.0,Massachusetts,88770.0,"Providence–Warwick, RI-MA",1624578.0,60000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Rockville,0,0.0,0.0,0.0,Maryland,66998.0,"Washington–Arlington–Alexandria, DC-VA-MD-WV",6385162.0,102000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Tuscaloosa,0,0.0,0.0,0.0,Alabama,98338.0,Tuscaloosa Metropolitan Area,268000.0,45000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Palo Alto,0,0.0,0.0,0.0,California,66848.0,"San Francisco-Oakland-Berkeley, CA MSA",4749000.0,158271.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Rochester Hills,0,0.0,0.0,0.0,Michigan,73432.0,"Detroit-Warren-Dearborn, MI MSA",4392000.0,93000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
San Francisco,0,0.0,0.0,0.0,California,864816.0,"San Francisco-Oakland-Berkeley, CA MSA",4749000.0,126187.0,"San Francisco 49ers (Santa Clara), Oakland Raiders (Oakland)","San Francisco Giants (San Francisco), Oakland Athletics (Oakland)",Golden State Warriors (Oakland),San Jose Sharks (San Jose),2.0,2.0,1.0,1.0,0.0,0,6.0
Mission Viejo,0,0.0,0.0,0.0,California,97163.0,"Los Angeles-Long Beach-Anaheim, CA MSA",13200000.0,121299.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ontario,0,0.0,0.0,0.0,California,171200.0,"Riverside-San Bernardino-Ontario, CA MSA",4650000.0,65000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Lowell,0,0.0,0.0,0.0,Massachusetts,110720.0,"Boston-Cambridge-Newton, MA-NH MSA",4875000.0,60000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Palatine,0,0.0,0.0,0.0,Illinois,69269.0,"Chicago-Naperville-Elgin, IL-IN-WI MSA",9500000.0,80000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Goodyear,0,0.0,0.0,0.0,Arizona,79003.0,"Phoenix-Mesa-Chandler, AZ MSA",4850000.0,83000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Nampa,0,0.0,0.0,0.0,Idaho,89850.0,"Boise City, ID",764718.0,68373.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Louisville/Jefferson County metro government,0,0.0,0.0,0.0,Kentucky,615389.0,"Louisville/Jefferson County, KY-IN",1265108.0,57258.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Thousand Oaks,0,0.0,0.0,0.0,California,129329.0,"Oxnard–Thousand Oaks–Ventura, CA",846006.0,92236.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
San Tan Valley,0,0.0,0.0,0.0,Arizona,82797.0,"Phoenix–Mesa–Chandler, AZ",4948203.0,96857.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Toms River,0,0.0,0.0,0.0,New Jersey,87750.0,"New York–Newark–Jersey City, NY-NJ-PA",19768458.0,80000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Bismarck,0,0.0,0.0,0.0,North Dakota,70240.0,"Bismarck, ND MSA",133626.0,64389.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Lawton,0,0.0,0.0,0.0,Oklahoma,96659.0,"Lawton, OK MSA",130000.0,45792.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Rockford,0,0.0,0.0,0.0,Illinois,149346.0,"Rockford, IL MSA",339000.0,55667.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Redding,0,0.0,0.0,0.0,California,91579.0,"Redding, CA MSA",180000.0,56500.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Warren,0,0.0,0.0,0.0,Michigan,135356.0,"Detroit-Warren-Dearborn, MI MSA",4392000.0,45000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Auburn,0,0.0,0.0,0.0,Washington,76580.0,"Seattle-Tacoma-Bellevue, WA MSA",4000000.0,75000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Grand Prairie,0,0.0,0.0,0.0,Texas,187755.0,"Dallas-Fort Worth-Arlington, TX MSA",7637000.0,68000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Port Saint Lucie,0,0.0,0.0,0.0,Florida,179410.0,"Port St. Lucie, FL",536901.0,74928.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Miramar,0,0.0,0.0,0.0,Florida,137115.0,"Miami-Fort Lauderdale-Pompano Beach, FL",6166488.0,66560.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
West Jordan,0,0.0,0.0,0.0,Utah,111942.0,"Salt Lake City, UT",1257936.0,79953.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Evansville,0,0.0,0.0,0.0,Indiana,117679.0,"Evansville, IN-KY",315086.0,38758.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
The Woodlands,0,0.0,0.0,0.0,Texas,119144.0,"Houston-The Woodlands-Sugar Land, TX",7122240.0,122634.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Town 'n' Country,0,0.0,0.0,0.0,Florida,78996.0,"Tampa-St. Petersburg-Clearwater, FL",3175275.0,52212.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Lewisville,0,0.0,0.0,0.0,Texas,104808.0,"Dallas-Fort Worth-Arlington, TX",7637387.0,75593.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Mount Pleasant,0,0.0,0.0,0.0,South Carolina,81309.0,"Charleston-North Charleston, SC",802122.0,103232.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
